,p1_len,p2_len,label,p1_len_bin,p2_len_bin
1096,201,403,1,250,450
1097,673,300,1,700,300
1098,444,254,1,450,300
1099,986,331,0,1000,350
1100,77,805,0,100,850
1101,201,1009,1,250,1050
1102,241,313,0,250,350
1103,439,464,1,450,500
1104,759,597,1,800,600
1105,977,890,1,1000,900
1106,840,586,1,850,600
1107,349,461,0,350,500
1108,247,1230,0,250,1250
1109,424,442,0,450,450
1110,216,597,1,250,600
1111,1085,213,0,1100,250
1112,317,747,0,350,750
1113,419,393,1,450,400
1114,655,2136,0,700,2150
1115,423,154,1,450,200
1116,208,115,0,250,150
1117,942,205,0,950,250
1118,371,237,1,400,250
1119,164,260,0,200,300
1120,664,762,0,700,800
1121,664,514,0,700,550
1122,124,478,0,150,500
1123,466,184,0,500,200
1124,450,260,0,450,300
1125,291,478,0,300,500
1126,249,334,0,250,350
1127,394,1313,0,400,1350
1128,102,908,0,150,950
1129,488,881,0,500,900
1130,557,322,1,600,350
1131,124,389,1,150,400
1132,170,485,1,200,500
1133,746,674,1,750,700
1134,218,115,0,250,150
1135,972,110,1,1000,150
1136,550,1298,1,550,1300
1137,508,351,1,550,400
1138,199,437,0,200,450
1139,177,139,1,200,150
1140,3000,93,0,3000,100
1141,208,281,1,250,300
1142,527,1043,1,550,1050
1143,793,577,0,800,600
1144,1669,110,0,1700,150
1145,672,725,0,700,750
1146,255,114,0,300,150
1147,348,330,0,350,350
1148,440,241,0,450,250
1149,216,442,1,250,450
1150,96,800,1,100,800
1151,85,824,1,100,850
1152,58,977,0,100,1000
1153,103,142,1,150,150
1154,258,472,1,300,500
1155,494,646,0,500,650
1156,91,620,0,100,650
1157,476,406,1,500,450
1158,453,147,0,500,150
1159,306,302,1,350,350
1160,591,785,0,600,800
1161,1338,629,0,1350,650
1162,144,325,1,150,350
1163,177,128,1,200,150
1164,177,683,1,200,700
1165,128,424,1,150,450
1166,1103,2161,1,1150,2200
1167,566,731,1,600,750
1168,168,553,1,200,600
1169,445,374,1,450,400
1170,894,377,0,900,400
1171,1475,399,1,1500,400
1172,540,557,1,550,600
1173,878,847,1,900,850
1174,825,577,1,850,600
1175,348,217,0,350,250
1176,1163,3000,0,1200,3000
1177,464,322,1,500,350
1178,403,372,0,450,400
1179,118,492,0,150,500
1180,1194,140,0,1200,150
1181,501,522,1,550,550
1182,1041,86,1,1050,100
1183,1937,744,0,1950,750
1184,134,286,0,150,300
1185,377,359,1,400,400
1186,184,520,0,200,550
1187,259,587,0,300,600
1188,798,341,0,800,350
1189,620,219,0,650,250
1190,91,439,1,100,450
1191,435,244,1,450,250
1192,546,711,1,550,750
1193,820,282,1,850,300
1194,396,103,1,400,150
1195,1134,1499,1,1150,1500
1196,216,863,1,250,900
1197,342,373,1,350,400
1198,464,747,1,500,750
1199,2161,1849,1,2200,1850
1200,894,261,0,900,300
1201,781,968,1,800,1000
1202,513,1524,0,550,1550
1203,311,377,0,350,400
1204,401,921,0,450,950
1205,513,142,1,550,150
1206,847,511,0,850,550
1207,494,439,1,500,450
1208,134,536,0,150,550
1209,261,805,0,300,850
1210,1041,396,1,1050,400
1211,688,640,0,700,650
1212,333,97,0,350,100
1213,310,363,0,350,400
1214,1041,218,0,1050,250
1215,1745,1736,1,1750,1750
1216,108,1447,0,150,1450
1217,890,931,0,900,950
1218,547,424,1,550,450
1219,1290,152,0,1300,200
1220,1586,327,0,1600,350
1221,591,2602,1,600,2650
1222,906,322,0,950,350
1223,3000,390,0,3000,400
1224,1475,1391,1,1500,1400
1225,1103,327,1,1150,350
1226,869,198,0,900,200
1227,640,3000,0,650,3000
1228,148,110,1,150,150
1229,313,136,0,350,150
1230,366,261,1,400,300
1231,375,268,0,400,300
1232,453,427,1,500,450
1233,139,683,1,150,700
1234,364,466,1,400,500
1235,598,129,0,600,150
1236,484,373,0,500,400
1237,363,600,0,400,600
1238,421,582,0,450,600
1239,395,371,1,400,400
1240,688,736,0,700,750
1241,766,406,0,800,450
1242,437,155,0,450,200
1243,516,114,0,550,150
1244,822,62,0,850,100
1245,420,406,0,450,450
1246,1499,1426,1,1500,1450
1247,1094,224,1,1100,250
1248,427,913,1,450,950
1249,354,852,0,400,900
1250,759,860,1,800,900
1251,435,808,1,450,850
1252,731,942,1,750,950
1253,1194,268,0,1200,300
1254,674,492,0,700,500
1255,320,1382,1,350,1400
1256,758,674,0,800,700
1257,236,398,0,250,400
1258,270,747,1,300,750
1259,69,1026,0,100,1050
1260,785,776,0,800,800
1261,623,825,1,650,850
1262,495,70,0,500,100
1263,333,81,0,350,100
1264,362,265,1,400,300
1265,889,476,0,900,500
1266,95,499,1,100,500
1267,625,158,0,650,200
1268,565,683,1,600,700
1269,464,282,1,500,300
1270,1304,322,1,1350,350
1271,681,403,0,700,450
1272,252,719,1,300,750
1273,315,1382,1,350,1400
1274,229,725,1,250,750
1275,133,154,1,150,200
1276,213,494,0,250,500
1277,58,108,1,100,150
1278,1041,273,0,1050,300
1279,1304,464,1,1350,500
1280,164,371,1,200,400
1281,334,406,0,350,450
1282,456,1812,1,500,1850
1283,1304,800,1,1350,800
1284,820,683,1,850,700
1285,697,684,0,700,700
1286,1156,2266,1,1200,2300
1287,359,1009,0,400,1050
1288,520,731,1,550,750
1289,715,941,0,750,950
1290,453,550,1,500,550
1291,430,2012,0,450,2050
1292,1287,764,0,1300,800
1293,148,208,0,150,250
1294,91,499,1,100,500
1295,597,860,1,600,900
1296,110,800,1,150,800
1297,557,95,1,600,100
1298,357,374,1,400,400
1299,575,999,0,600,1000
1300,444,131,1,450,150
1301,95,2136,1,100,2150
1302,172,596,0,200,600
1303,2090,849,0,2100,850
1304,287,240,0,300,250
1305,1982,941,0,2000,950
1306,1054,172,1,1100,200
1307,620,597,1,650,600
1308,1304,95,1,1350,100
1309,390,449,1,400,450
1310,229,494,0,250,500
1311,773,1374,1,800,1400
1312,865,630,1,900,650
1313,374,349,0,400,350
1314,3000,907,1,3000,950
1315,709,418,0,750,450
1316,313,590,0,350,600
1317,597,336,0,600,350
1318,449,2215,0,450,2250
1319,954,465,0,1000,500
1320,406,389,0,450,400
1321,540,744,1,550,750
1322,123,122,1,150,150
1323,229,211,0,250,250
1324,1290,465,0,1300,500
1325,840,872,0,850,900
1326,494,433,1,500,450
1327,517,110,1,550,150
1328,811,894,1,850,900
1329,546,538,0,550,550
1330,941,128,1,950,150
1331,158,370,0,200,400
1332,357,315,1,400,350
1333,524,599,0,550,600
1334,1032,198,1,1050,200
1335,419,344,0,450,350
1336,404,662,1,450,700
1337,184,2548,0,200,2550
1338,437,1461,1,450,1500
1339,268,669,0,300,700
1340,1093,198,1,1100,200
1341,1481,955,0,1500,1000
1342,1094,804,0,1100,850
1343,1290,224,0,1300,250
1344,672,62,0,700,100
1345,804,894,1,850,900
1346,745,543,0,750,550
1347,452,473,1,500,500
1348,261,1606,0,300,1650
1349,146,315,1,150,350
1350,216,913,1,250,950
1351,359,1601,0,400,1650
1352,93,355,1,100,400
1353,559,942,1,600,950
1354,921,1156,0,950,1200
1355,1435,715,0,1450,750
1356,422,420,0,450,450
1357,849,2224,0,850,2250
1358,423,505,0,450,550
1359,123,360,1,150,400
1360,429,426,1,450,450
1361,617,230,0,650,250
1362,1290,499,0,1300,500
1363,357,352,1,400,400
1364,765,1220,1,800,1250
1365,304,333,1,350,350
1366,168,427,0,200,450
1367,424,683,1,450,700
1368,800,895,1,800,900
1369,252,628,0,300,650
1370,298,355,0,300,400
1371,878,567,0,900,600
1372,105,174,1,150,200
1373,211,504,0,250,550
1374,1032,1093,1,1050,1100
1375,840,734,1,850,750
1376,216,719,1,250,750
1377,347,485,0,350,500
1378,258,501,0,300,550
1379,557,1041,1,600,1050
1380,380,669,0,400,700
1381,312,972,1,350,1000
1382,1436,2266,1,1450,2300
1383,974,894,1,1000,900
1384,1058,1996,0,1100,2000
1385,69,1020,0,100,1050
1386,320,113,1,350,150
1387,108,141,1,150,150
1388,116,244,0,150,250
1389,1586,839,0,1600,850
1390,76,128,1,100,150
1391,85,147,0,100,150
1392,790,617,0,800,650
1393,913,352,1,950,400
1394,166,1007,0,200,1050
1395,200,117,1,200,150
1396,68,340,1,100,350
1397,115,156,0,150,200
1398,148,86,1,150,100
1399,1873,598,1,1900,600
1400,394,218,0,400,250
1401,1382,325,1,1400,350
1402,377,172,1,400,200
1403,243,511,0,250,550
1404,58,1651,0,100,1700
1405,1017,286,0,1050,300
1406,314,254,1,350,300
1407,1584,517,0,1600,550
1408,334,107,0,350,150
1409,131,297,0,150,300
1410,256,725,0,300,750
1411,850,2839,0,850,2850
1412,800,142,1,800,150
1413,102,442,1,150,450
1414,277,493,0,300,500
1415,921,684,1,950,700
1416,439,683,1,450,700
1417,495,1507,1,500,1550
1418,235,553,0,250,600
1419,1304,1098,1,1350,1100
1420,482,587,0,500,600
1421,351,310,0,400,350
1422,759,313,0,800,350
1423,216,759,1,250,800
1424,782,849,0,800,850
1425,86,122,0,100,150
1426,2925,1461,0,2950,1500
1427,233,1032,1,250,1050
1428,277,734,0,300,750
1429,849,804,0,850,850
1430,216,1298,1,250,1300
1431,467,504,1,500,550
1432,598,1103,1,600,1150
1433,3000,239,0,3000,250
1434,719,427,0,750,450
1435,326,418,0,350,450
1436,343,626,0,350,650
1437,814,431,1,850,450
1438,1871,931,1,1900,950
1439,134,164,0,150,200
1440,502,178,1,550,200
1441,797,465,0,800,500
1442,216,559,1,250,600
1443,783,406,0,800,450
1444,98,128,1,100,150
1445,498,519,0,500,550
1446,630,406,0,650,450
1447,908,208,0,950,250
1448,478,1378,0,500,1400
1449,1939,427,0,1950,450
1450,95,103,1,100,150
1451,349,411,1,350,450
1452,257,998,0,300,1000
1453,1223,461,0,1250,500
1454,86,201,0,100,250
1455,720,640,1,750,650
1456,297,373,0,300,400
1457,1381,400,0,1400,400
1458,166,528,0,200,550
1459,566,860,1,600,900
1460,173,2136,0,200,2150
1461,310,171,1,350,200
1462,501,755,1,550,800
1463,861,435,1,900,450
1464,781,518,1,800,550
1465,913,357,1,950,400
1466,1041,2136,1,1050,2150
1467,598,1020,1,600,1050
1468,494,440,0,500,450
1469,282,155,1,300,200
1470,550,600,1,550,600
1471,360,770,1,400,800
1472,252,120,0,300,150
1473,1873,797,0,1900,800
1474,2240,628,0,2250,650
1475,1007,237,0,1050,250
1476,102,942,1,150,950
1477,101,3000,0,150,3000
1478,913,1313,0,950,1350
1479,96,972,1,100,1000
1480,3000,44,0,3000,50
1481,134,422,1,150,450
1482,339,492,0,350,500
1483,904,863,1,950,900
1484,352,564,1,400,600
1485,237,1812,0,250,1850
1486,800,2136,1,800,2150
1487,1050,504,0,1050,550
1488,139,941,1,150,950
1489,199,439,1,200,450
1490,1685,3000,0,1700,3000
1491,240,941,1,250,950
1492,91,142,1,100,150
1493,559,1298,1,600,1300
1494,913,1382,1,950,1400
1495,659,437,0,700,450
1496,550,860,1,550,900
1497,369,3000,0,400,3000
1498,129,1010,0,150,1050
1499,68,431,0,100,450
1500,173,955,0,200,1000
1501,385,726,0,400,750
1502,360,379,1,400,400
1503,128,1124,0,150,1150
1504,495,550,1,500,550
1505,1586,484,1,1600,500
1506,593,1871,0,600,1900
1507,298,141,1,300,150
1508,96,895,1,100,900
1509,1581,464,1,1600,500
1510,510,852,1,550,900
1511,134,132,0,150,150
1512,168,256,1,200,300
1513,141,553,1,150,600
1514,210,157,1,250,200
1515,594,1484,0,600,1500
1516,95,464,1,100,500
1517,840,220,0,850,250
1518,796,273,1,800,300
1519,747,749,0,750,750
1520,298,410,1,300,450
1521,941,427,0,950,450
1522,149,1298,0,150,1300
1523,1586,1580,1,1600,1600
1524,1826,420,0,1850,450
1525,499,322,1,500,350
1526,128,518,0,150,550
1527,300,1153,0,300,1200
1528,219,466,0,250,500
1529,366,252,0,400,300
1530,291,962,0,300,1000
1531,908,1484,0,950,1500
1532,609,1914,0,650,1950
1533,502,268,1,550,300
1534,499,110,1,500,150
1535,713,1249,0,750,1250
1536,1140,1298,1,1150,1300
1537,546,719,1,550,750
1538,77,519,0,100,550
1539,320,472,1,350,500
1540,146,178,1,150,200
1541,201,201,1,250,250
1542,474,424,0,500,450
1543,103,820,1,150,850
1544,102,578,0,150,600
1545,495,442,1,500,450
1546,1097,178,0,1100,200
1547,503,1584,0,550,1600
1548,201,417,0,250,450
1549,102,731,1,150,750
1550,465,2997,0,500,3000
1551,96,683,1,100,700
1552,501,895,1,550,900
1553,757,97,0,800,100
1554,326,352,0,350,400
1555,91,155,1,100,200
1556,386,1009,1,400,1050
1557,318,1382,0,350,1400
1558,467,389,0,500,400
1559,1032,527,0,1050,550
1560,631,183,0,650,200
1561,437,365,0,450,400
1562,496,755,1,500,800
1563,800,322,1,800,350
1564,281,348,0,300,350
1565,333,472,1,350,500
1566,421,1321,0,450,1350
1567,144,352,1,150,400
1568,86,727,1,100,750
1569,1093,224,1,1100,250
1570,504,99,0,550,100
1571,278,913,0,300,950
1572,252,494,0,300,500
1573,436,471,0,450,500
1574,215,597,0,250,600
1575,784,365,0,800,400
1576,894,1484,1,900,1500
1577,522,800,1,550,800
1578,589,31,0,600,50
1579,522,565,1,550,600
1580,166,839,0,200,850
1581,196,477,0,200,500
1582,179,1025,0,200,1050
1583,144,225,1,150,250
1584,93,1484,0,100,1500
1585,631,176,0,650,200
1586,504,829,0,550,850
1587,91,800,1,100,800
1588,662,1187,1,700,1200
1589,200,270,1,200,300
1590,620,496,1,650,500
1591,240,282,1,250,300
1592,557,148,1,600,150
1593,653,201,0,700,250
1594,759,860,0,800,900
1595,1276,292,0,1300,300
1596,646,1098,0,650,1100
1597,781,211,0,800,250
1598,935,198,0,950,200
1599,175,543,0,200,550
1600,85,565,1,100,600
1601,672,968,1,700,1000
1602,797,216,1,800,250
1603,247,553,1,250,600
1604,781,410,0,800,450
1605,562,816,0,600,850
1606,792,1290,0,800,1300
1607,502,404,0,550,450
1608,895,941,1,900,950
1609,1586,598,0,1600,600
1610,344,164,1,350,200
1611,430,400,0,450,400
1612,426,382,1,450,400
1613,86,96,1,100,100
1614,333,262,0,350,300
1615,423,785,1,450,800
1616,580,773,1,600,800
1617,310,739,0,350,750
1618,557,424,1,600,450
1619,419,711,1,450,750
1620,427,942,1,450,950
1621,179,669,0,200,700
1622,167,707,1,200,750
1623,405,466,0,450,500
1624,1093,473,0,1100,500
1625,380,172,0,400,200
1626,557,95,0,600,100
1627,298,323,0,300,350
1628,466,154,0,500,200
1629,299,377,1,300,400
1630,2210,117,1,2250,150
1631,200,268,1,200,300
1632,1227,938,0,1250,950
1633,128,290,0,150,300
1634,618,83,0,650,100
1635,435,804,0,450,850
1636,345,139,0,350,150
1637,297,852,1,300,900
1638,906,539,0,950,550
1639,1017,539,0,1050,550
1640,86,622,1,100,650
1641,482,998,0,500,1000
1642,102,759,1,150,800
1643,502,62,0,550,100
1644,1599,389,0,1600,400
1645,365,356,1,400,400
1646,215,669,0,250,700
1647,392,564,0,400,600
1648,1094,422,0,1100,450
1649,2136,553,0,2150,600
1650,3000,277,0,3000,300
1651,620,824,1,650,850
1652,86,103,1,100,150
1653,972,941,1,1000,950
1654,1032,341,0,1050,350
1655,86,895,1,100,900
1656,1426,411,1,1450,450
1657,496,1944,1,500,1950
1658,462,475,0,500,500
1659,800,941,1,800,950
1660,419,399,1,450,400
1661,546,1140,1,550,1150
1662,1304,513,1,1350,550
1663,297,360,0,300,400
1664,120,194,0,150,200
1665,633,224,0,650,250
1666,225,381,0,250,400
1667,499,103,1,500,150
1668,1041,683,1,1050,700
1669,1032,765,1,1050,800
1670,179,325,1,200,350
1671,266,247,1,300,250
1672,1382,130,0,1400,150
1673,177,765,0,200,800
1674,631,406,0,650,450
1675,265,139,0,300,150
1676,305,404,0,350,450
1677,857,156,0,900,200
1678,3000,326,0,3000,350
1679,822,365,1,850,400
1680,800,128,1,800,150
1681,353,736,0,400,750
1682,810,514,0,850,550
1683,406,259,0,450,300
1684,907,3000,1,950,3000
1685,435,501,1,450,550
1686,1103,2313,1,1150,2350
1687,423,393,1,450,400
1688,1382,445,1,1400,450
1689,502,526,1,550,550
1690,566,334,0,600,350
1691,557,501,1,600,550
1692,577,396,0,600,400
1693,559,913,1,600,950
1694,380,741,1,400,750
1695,325,431,1,350,450
1696,1058,294,1,1100,300
1697,352,218,0,400,250
1698,95,377,0,100,400
1699,878,393,0,900,400
1700,1446,144,0,1450,150
1701,719,449,0,750,450
1702,484,71,1,500,100
1703,546,427,1,550,450
1704,480,139,1,500,150
1705,222,1871,0,250,1900
1706,349,166,0,350,200
1707,96,464,1,100,500
1708,392,505,1,400,550
1709,564,374,1,600,400
1710,115,128,1,150,150
1711,85,938,0,100,950
1712,926,238,0,950,250
1713,669,290,0,700,300
1714,546,526,0,550,550
1715,637,104,1,650,150
1716,1812,396,1,1850,400
1717,258,204,0,300,250
1718,2210,406,0,2250,450
1719,352,351,0,400,400
1720,184,1093,0,200,1100
1721,352,399,0,400,400
1722,374,1461,0,400,1500
1723,190,476,1,200,500
1724,798,577,1,800,600
1725,158,758,0,200,800
1726,268,165,0,300,200
1727,766,363,1,800,400
1728,562,217,0,600,250
1729,288,1208,0,300,1250
1730,972,522,1,1000,550
1731,403,735,0,450,750
1732,86,501,1,100,550
1733,559,427,1,600,450
1734,79,235,0,100,250
1735,403,606,0,450,650
1736,3000,188,0,3000,200
1737,1098,464,1,1100,500
1738,804,392,0,850,400
1739,102,860,1,150,900
1740,331,290,0,350,300
1741,144,172,0,150,200
1742,565,1944,1,600,1950
1743,158,184,0,200,200
1744,816,93,0,850,100
1745,499,142,1,500,150
1746,373,504,0,400,550
1747,1430,255,0,1450,300
1748,91,513,1,100,550
1749,520,1298,1,550,1300
1750,866,327,0,900,350
1751,190,311,0,200,350
1752,155,252,0,200,300
1753,499,480,1,500,500
1754,974,811,1,1000,850
1755,149,288,0,150,300
1756,580,352,1,600,400
1757,2012,599,1,2050,600
1758,846,1453,1,850,1500
1759,972,895,1,1000,900
1760,1154,337,1,1200,350
1761,117,146,1,150,150
1762,211,424,0,250,450
1763,391,471,0,400,500
1764,395,683,0,400,700
1765,500,501,0,500,550
1766,159,165,1,200,200
1767,146,270,1,150,300
1768,453,495,1,500,500
1769,1140,600,1,1150,600
1770,715,2177,0,750,2200
1771,550,942,1,550,950
1772,199,396,1,200,400
1773,437,400,0,450,400
1774,1529,1378,1,1550,1400
1775,536,2136,1,550,2150
1776,359,2541,0,400,2550
1777,810,417,0,850,450
1778,74,1944,1,100,1950
1779,445,773,0,450,800
1780,345,643,0,350,650
1781,190,478,1,200,500
1782,630,1584,1,650,1600
1783,649,669,1,650,700
1784,824,1484,0,850,1500
1785,1086,442,1,1100,450
1786,890,1298,0,900,1300
1787,142,155,1,150,200
1788,797,759,1,800,800
1789,224,172,0,250,200
1790,797,456,0,800,500
1791,1937,308,0,1950,350
1792,502,131,0,550,150
1793,449,523,0,450,550
1794,550,559,1,550,600
1795,465,171,1,500,200
1796,1156,380,1,1200,400
1797,923,931,1,950,950
1798,453,559,1,500,600
1799,311,540,0,350,550
1800,134,844,0,150,850
1801,1032,322,1,1050,350
1802,3000,1156,0,3000,1200
1803,709,465,0,750,500
1804,791,155,1,800,200
1805,1304,1031,1,1350,1050
1806,923,1651,1,950,1700
1807,386,254,0,400,300
1808,350,1508,1,350,1550
1809,110,683,1,150,700
1810,355,847,0,400,850
1811,393,400,1,400,400
1812,299,389,0,300,400
1813,453,600,1,500,600
1814,312,128,1,350,150
1815,1135,322,0,1150,350
1816,422,606,0,450,650
1817,392,586,1,400,600
1818,300,861,0,300,900
1819,201,773,0,250,800
1820,437,481,0,450,500
1821,84,1446,0,100,1450
1822,747,124,0,750,150
1823,1937,1976,1,1950,2000
1824,557,941,1,600,950
1825,379,483,0,400,500
1826,1556,172,1,1600,200
1827,75,380,1,100,400
1828,114,1133,0,150,1150
1829,95,155,1,100,200
1830,257,494,0,300,500
1831,1977,2221,1,2000,2250
1832,360,980,0,400,1000
1833,759,427,1,800,450
1834,493,803,0,500,850
1835,86,439,1,100,450
1836,442,94,0,450,100
1837,757,1748,1,800,1750
1838,773,252,0,800,300
1839,520,559,1,550,600
1840,1041,312,1,1050,350
1841,263,943,0,300,950
1842,199,683,1,200,700
1843,615,134,0,650,150
1844,288,1555,0,300,1600
1845,342,104,1,350,150
1846,643,422,0,650,450
1847,385,286,0,400,300
1848,1154,1187,1,1200,1200
1849,647,390,1,650,400
1850,478,1097,0,500,1100
1851,372,553,0,400,600
1852,557,142,1,600,150
1853,427,1507,1,450,1550
1854,96,282,1,100,300
1855,312,522,1,350,550
1856,190,591,0,200,600
1857,341,304,0,350,350
1858,199,128,1,200,150
1859,464,2136,1,500,2150
1860,941,155,1,950,200
1861,216,731,1,250,750
1862,481,577,0,500,600
1863,456,1067,0,500,1100
1864,287,847,0,300,850
1865,244,1480,0,250,1500
1866,731,1140,1,750,1150
1867,158,297,0,200,300
1868,325,564,1,350,600
1869,1584,1094,1,1600,1100
1870,74,185,1,100,200
1871,101,355,0,150,400
1872,386,462,0,400,500
1873,790,529,1,800,550
1874,889,1298,0,900,1300
1875,759,559,1,800,600
1876,1507,1140,1,1550,1150
1877,2109,365,1,2150,400
1878,54,861,0,100,900
1879,398,372,1,400,400
1880,773,411,1,800,450
1881,977,344,0,1000,350
1882,445,218,1,450,250
1883,124,379,1,150,400
1884,282,503,0,300,550
1885,429,513,1,450,550
1886,972,322,1,1000,350
1887,1265,365,0,1300,400
1888,1939,297,0,1950,300
1889,396,464,1,400,500
1890,720,472,0,750,500
1891,607,519,0,650,550
1892,353,344,1,400,350
1893,83,609,0,100,650
1894,76,727,1,100,750
1895,1657,360,1,1700,400
1896,155,850,0,200,850
1897,241,140,0,250,150
1898,1756,741,1,1800,750
1899,913,1599,1,950,1600
1900,591,869,0,600,900
1901,298,482,0,300,500
1902,400,385,1,400,400
1903,759,600,1,800,600
1904,285,630,0,300,650
1905,863,711,1,900,750
1906,977,1849,1,1000,1850
1907,2221,2161,1,2250,2200
1908,1873,2161,1,1900,2200
1909,116,70,1,150,100
1910,359,783,1,400,800
1911,215,444,0,250,450
1912,163,431,0,200,450
1913,435,620,0,450,650
1914,860,401,0,900,450
1915,887,208,0,900,250
1916,1657,427,1,1700,450
1917,1032,557,0,1050,600
1918,103,683,1,150,700
1919,386,643,0,400,650
1920,1873,637,0,1900,650
1921,353,348,1,400,350
1922,430,425,0,450,450
1923,781,826,1,800,850
1924,199,2136,1,200,2150
1925,142,2136,1,150,2150
1926,565,496,1,600,500
1927,548,285,0,550,300
1928,255,172,0,300,200
1929,659,404,0,700,450
1930,1304,96,1,1350,100
1931,492,798,0,500,800
1932,1035,894,0,1050,900
1933,333,814,1,350,850
1934,248,258,0,250,300
1935,2725,399,1,2750,400
1936,1669,514,0,1700,550
1937,517,93,0,550,100
1938,286,649,0,300,650
1939,270,241,0,300,250
1940,359,308,1,400,350
1941,791,558,0,800,600
1942,208,2215,0,250,2250
1943,1812,977,1,1850,1000
1944,312,921,0,350,950
1945,725,1043,0,750,1050
1946,369,300,0,400,300
1947,116,325,1,150,350
1948,677,74,0,700,100
1949,218,501,0,250,550
1950,116,264,1,150,300
1951,1140,442,1,1150,450
1952,86,312,1,100,350
1953,341,366,1,350,400
1954,1368,2210,1,1400,2250
1955,124,350,0,150,350
1956,921,1507,0,950,1550
1957,582,617,1,600,650
1958,557,258,0,600,300
1959,747,178,1,750,200
1960,1094,379,0,1100,400
1961,159,163,1,200,200
1962,453,1010,1,500,1050
1963,824,167,1,850,200
1964,184,276,0,200,300
1965,471,687,0,500,700
1966,857,359,0,900,400
1967,318,412,0,350,450
1968,453,1507,1,500,1550
1969,354,201,0,400,250
1970,181,374,0,200,400
1971,371,703,1,400,750
1972,962,656,0,1000,700
1973,148,522,1,150,550
1974,522,282,1,550,300
1975,495,427,1,500,450
1976,840,505,1,850,550
1977,199,1098,1,200,1100
1978,85,755,1,100,800
1979,480,128,1,500,150
1980,453,566,1,500,600
1981,759,731,1,800,750
1982,58,919,0,100,950
1983,110,522,1,150,550
1984,566,495,1,600,500
1985,1657,393,1,1700,400
1986,693,833,0,700,850
1987,495,638,0,500,650
1988,115,264,1,150,300
1989,259,265,0,300,300
1990,199,895,1,200,900
1991,598,103,0,600,150
1992,173,437,0,200,450
1993,1124,3000,0,1150,3000
1994,96,879,0,100,900
1995,895,513,1,900,550
1996,179,76,1,200,100
1997,116,538,0,150,550
1998,822,565,1,850,600
1999,369,238,0,400,250
2000,300,847,1,300,850
2001,613,1249,0,650,1250
2002,3000,362,0,3000,400
2003,190,782,0,200,800
2004,1484,425,1,1500,450
2005,499,312,1,500,350
2006,177,2136,1,200,2150
2007,199,103,1,200,150
2008,2098,424,0,2100,450
2009,906,406,0,950,450
2010,349,335,0,350,350
2011,320,766,0,350,800
2012,148,96,1,150,100
2013,977,374,0,1000,400
2014,311,172,0,350,200
2015,134,134,1,150,150
2016,808,734,1,850,750
2017,183,852,1,200,900
2018,566,600,1,600,600
2019,96,322,1,100,350
2020,941,683,1,950,700
2021,108,219,0,150,250
2022,165,328,1,200,350
2023,144,814,1,150,850
2024,415,787,0,450,800
2025,342,681,0,350,700
2026,102,797,1,150,800
2027,370,344,1,400,350
2028,604,604,1,650,650
2029,315,596,0,350,600
2030,224,578,0,250,600
2031,811,508,0,850,550
2032,354,340,1,400,350
2033,96,355,1,100,400
2034,3000,256,0,3000,300
2035,117,178,1,150,200
2036,357,431,1,400,450
2037,631,476,0,650,500
2038,176,105,0,200,150
2039,1748,93,1,1750,100
2040,252,183,0,300,200
2041,159,282,1,200,300
2042,388,647,1,400,650
2043,1154,736,0,1200,750
2044,345,182,0,350,200
2045,75,340,1,100,350
2046,124,628,0,150,650
2047,746,638,0,750,650
2048,414,807,0,450,850
2049,295,501,0,300,550
2050,427,334,0,450,350
2051,313,1507,1,350,1550
2052,630,373,0,650,400
2053,956,744,0,1000,750
2054,410,426,1,450,450
2055,972,800,1,1000,800
2056,348,410,1,350,450
2057,243,359,0,250,400
2058,179,86,1,200,100
2059,529,256,1,550,300
2060,713,783,0,750,800
2061,148,199,1,150,200
2062,393,1230,0,400,1250
2063,354,895,0,400,900
2064,257,796,1,300,800
2065,684,406,0,700,450
2066,1019,475,0,1050,500
2067,620,566,0,650,600
2068,359,442,0,400,450
2069,359,976,0,400,1000
2070,2177,178,1,2200,200
2071,547,457,0,550,500
2072,424,371,1,450,400
2073,268,1093,0,300,1100
2074,566,197,0,600,200
2075,1052,1009,1,1100,1050
2076,442,31,0,450,50
2077,184,729,0,200,750
2078,85,185,1,100,200
2079,58,168,1,100,200
2080,1026,304,0,1050,350
2081,285,557,1,300,600
2082,156,464,1,200,500
2083,167,1508,1,200,1550
2084,829,885,1,850,900
2085,349,2339,0,350,2350
2086,493,292,0,500,300
2087,630,1382,0,650,1400
2088,1023,453,1,1050,500
2089,546,759,1,550,800
2090,420,327,0,450,350
2091,547,462,0,550,500
2092,860,755,0,900,800
2093,135,369,0,150,400
2094,620,185,1,650,200
2095,942,333,0,950,350
2096,797,1298,1,800,1300
2097,551,1154,1,600,1200
2098,396,513,1,400,550
2099,396,501,1,400,550
2100,736,359,1,750,400
2101,232,184,0,250,200
2102,423,423,1,450,450
2103,1935,1976,1,1950,2000
2104,557,110,1,600,150
2105,453,1140,1,500,1150
2106,437,115,0,450,150
2107,393,322,1,400,350
2108,159,1670,0,200,1700
2109,390,204,0,400,250
2110,399,418,1,400,450
2111,181,315,0,200,350
2112,567,646,1,600,650
2113,357,814,1,400,850
2114,188,71,1,200,100
2115,1748,607,0,1750,650
2116,380,776,0,400,800
2117,268,178,1,300,200
2118,1335,225,0,1350,250
2119,781,784,1,800,800
2120,439,130,0,450,150
2121,913,860,1,950,900
